frame,timestamp_sec,time_formatted,face_detected,mp_left_cx,mp_left_cy,mp_right_cx,mp_right_cy,left_edge_L_x,left_edge_L_y,left_edge_R_x,left_edge_R_y,left_center_x,left_center_y,left_confidence,left_method,edge_left_cx,edge_left_cy,right_edge_L_x,right_edge_L_y,right_edge_R_x,right_edge_R_y,right_center_x,right_center_y,right_confidence,right_method,edge_right_cx,edge_right_cy,gaze_x,gaze_y,left_deviation,right_deviation,left_jitter,right_jitter
43,1.4333333333333333,00:01.433,True,775.7698974609375,614.4501953125,1267.751708984375,589.1846313476562,725.0,616.0,840.0,617.0,782.5,616.5,0.35,edge_band,782.5,616.5,1206.0,589.0,1322.0,589.0,1264.0,589.0,0.35,edge_band,1264.0,589.0,1023.25,602.75,7.0353379054024465,3.7562493311783043,7.3864059347644435,11.02662345937608
44,1.4666666666666666,00:01.467,True,776.1277465820312,614.1695556640625,1268.3306884765625,588.7860717773438,728.0,616.0,823.0,615.0,775.5,615.5,0.325,edge_band,775.5,615.5,1206.0,588.0,1326.0,589.0,1266.0,588.5,0.6,edge_band,1266.0,588.5,1020.75,602.0,1.4711043138676783,2.34817925988921,6.918297905814745,10.338320373273223
45,1.5,00:01.500,True,776.6005249023438,613.0658569335938,1270.60400390625,589.2899169921875,728.0,616.0,824.0,613.0,776.0,614.5,0.35,edge_band,776.0,614.5,1230.0,588.0,1324.0,592.0,1277.0,590.0,0.325,edge_band,1277.0,590.0,1026.5,602.25,1.5547978946654424,6.435292060912955,4.39196229839823,6.151086443322391
46,1.5333333333333334,00:01.533,True,777.005126953125,612.5645751953125,1271.1845703125,588.45458984375,728.0,614.0,824.0,613.0,776.0,613.5,0.2625,edge_band,776.0,613.5,1228.0,591.0,1332.0,585.0,1280.0,588.0,0.3,edge_band,1280.0,588.0,1028.0,600.75,1.373062182540541,8.827142941025539,4.39398703942641,8.189101800615559
47,1.5666666666666667,00:01.567,True,776.3885498046875,611.7433471679688,1271.27685546875,588.7437133789062,716.0,610.0,823.0,611.0,769.5,610.5,0.1875,edge_band,769.5,610.5,1210.0,592.0,1324.0,592.0,1267.0,592.0,0.2125,edge_band,1267.0,592.0,1018.25,601.25,6.999859326569078,5.375397218744949,6.9038030325815924,8.771410034983383
48,1.6,00:01.600,True,762.5518188476562,611.8660278320312,1251.152099609375,583.453125,700.0,612.0,807.0,613.0,753.5,612.5,0.35,edge_band,753.5,612.5,1187.0,580.0,1300.0,580.0,1243.5,580.0,0.3125,edge_band,1243.5,580.0,998.5,596.25,9.073992790417233,8.395159361049796,11.602123013432779,18.91064412701124
49,1.6333333333333333,00:01.633,True,761.3648681640625,611.6778564453125,1251.3486328125,587.0606689453125,700.0,611.0,809.0,613.0,754.5,612.0,0.1875,edge_band,754.5,612.0,1203.0,587.0,1296.0,585.0,1249.5,586.0,0.3875,edge_band,1249.5,586.0,1002.0,599.0,6.872422526284711,2.1313052073792695,12.70473847696296,20.903885644094817
50,1.6666666666666667,00:01.667,True,762.3329467773438,612.0225830078125,1252.288818359375,587.5597534179688,702.0,609.0,808.0,612.0,755.0,610.5,0.175,edge_band,755.0,610.5,1203.0,585.0,1298.0,589.0,1250.5,587.0,0.4625,edge_band,1250.5,587.0,1002.75,598.75,7.489350269217981,1.8743518911252404,11.663618470939705,19.366698386227693
51,1.7,00:01.700,True,761.4158935546875,611.9124755859375,1252.4254150390625,588.2265625,693.0,609.0,806.0,610.0,749.5,609.5,0.4625,edge_band,749.5,609.5,1204.0,585.0,1298.0,590.0,1251.0,587.5,0.6125,edge_band,1251.0,587.5,1000.25,598.5,12.157654282771311,1.5999065910208004,8.860188538919974,13.051876890083632
52,1.7333333333333334,00:01.733,True,761.9002075195312,612.4552612304688,1253.5599365234375,587.7156372070312,702.0,612.0,807.0,615.0,754.5,613.5,0.3,edge_band,754.5,613.5,1205.0,585.0,1299.0,587.0,1252.0,586.0,0.4625,edge_band,1252.0,586.0,1003.25,599.75,7.473590196731991,2.3187955889435927,3.8440924476913696,6.398413911713777
53,1.7666666666666666,00:01.767,True,762.0230712890625,612.2168579101562,1253.8314208984375,587.6341552734375,702.0,612.0,805.0,613.0,753.5,612.5,0.1875,edge_band,753.5,612.5,1205.0,585.0,1301.0,585.0,1253.0,585.0,0.3875,edge_band,1253.0,585.0,1003.25,598.75,8.527773076336084,2.7622517472050245,3.8440924476913696,2.3256050430925725
